Date,Close
7/1/2019,770.00
7/2/2019,780.00
7/3/2019,796.00
7/4/2019,808.00
7/5/2019,828.00
7/8/2019,800.00
7/9/2019,806.00
7/10/2019,826.00
7/11/2019,850.00
7/12/2019,846.00
7/15/2019,846.00
7/16/2019,846.00
7/17/2019,836.00
7/18/2019,830.00
7/19/2019,874.00
7/22/2019,876.00
7/23/2019,874.00
7/24/2019,888.00
7/25/2019,896.00
7/26/2019,888.00
7/29/2019,870.00
7/30/2019,846.00
7/31/2019,840.00
8/1/2019,840.00
8/2/2019,856.00
8/5/2019,838.00
8/6/2019,836.00
8/7/2019,834.00
8/8/2019,862.00
8/9/2019,850.00
8/12/2019,870.00
8/13/2019,870.00
8/14/2019,874.00
8/15/2019,874.00
8/16/2019,874.00
8/19/2019,892.00
8/20/2019,906.00
8/21/2019,978.00
8/22/2019,1005.00
8/23/2019,1015.00
8/26/2019,1040.00
8/27/2019,1025.00
8/28/2019,1060.00
8/29/2019,1165.00
8/30/2019,1195.00
9/2/2019,1205.00
9/3/2019,1205.00
9/4/2019,1260.00
9/5/2019,1305.00
9/6/2019,1240.00
9/9/2019,1280.00
9/10/2019,1240.00
9/11/2019,1215.00
9/12/2019,1175.00
9/13/2019,1180.00
9/16/2019,1165.00
9/17/2019,1180.00
9/18/2019,1185.00
9/19/2019,1180.00
9/20/2019,1165.00
9/23/2019,1175.00
9/24/2019,1100.00
9/25/2019,1190.00
9/26/2019,1210.00
9/27/2019,1230.00
9/30/2019,1225.00
10/1/2019,1230.00
10/2/2019,1250.00
10/3/2019,1255.00
10/4/2019,1260.00
10/7/2019,1260.00
10/8/2019,1265.00
10/9/2019,1280.00
10/10/2019,1300.00
10/11/2019,1355.00
10/14/2019,1365.00
10/15/2019,1330.00
10/16/2019,1335.00
10/17/2019,1315.00
10/18/2019,1280.00
10/21/2019,1320.00
10/22/2019,1275.00
10/23/2019,1290.00
10/24/2019,1285.00
10/25/2019,1285.00
10/28/2019,1280.00
10/29/2019,1275.00
10/30/2019,1280.00
10/31/2019,1265.00
11/1/2019,1220.00
11/4/2019,1160.00
11/5/2019,1130.00
11/6/2019,1155.00
11/7/2019,1180.00
11/8/2019,1140.00
11/11/2019,1100.00
11/12/2019,1110.00
11/13/2019,1095.00
11/14/2019,1140.00
11/15/2019,1135.00
11/18/2019,1095.00
11/19/2019,1085.00
11/20/2019,1050.00
11/21/2019,1050.00
11/22/2019,1020.00
11/25/2019,1035.00
11/26/2019,1000.00
11/27/2019,1075.00
11/28/2019,1080.00
11/29/2019,1095.00
12/2/2019,1150.00
12/3/2019,1150.00
12/4/2019,1170.00
12/5/2019,1135.00
12/6/2019,1095.00
12/9/2019,1110.00
12/10/2019,1080.00
12/11/2019,1085.00
12/12/2019,1105.00
12/13/2019,1145.00
12/16/2019,1115.00
12/17/2019,1140.00
12/18/2019,1140.00
12/19/2019,1140.00
